"Country A","Country B","Type","Date of signature","Effective","Status","Source","WHTrates","PE","Other","UN","5i","5ii","5iii","5iv","5v","5vi","5vii","5viii","7i","7ii","8i","10i","10ii","10iii","11i","11ii","12i","12ia","12ib","12iv","13i","13ii","14i","16i","21i","25i","27i","29i"
"Albania","Hungary","Original","1992","1996","In Force","0.11","0.16","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","0","0","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","Turkey","Original","1994","1997","In Force","0.19","0.38","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","Romania","Original","1994","1995","In Force","0.47","0.47","0.58","0.38","0.44","9","YES","9","YES","YES","YES","NO","YES","YES","NO","NO","10","25","15","10","10","15","15","15","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Albania","Italy","Original","1994","2000","In Force","0.19","0.25","0.19","0.13","0.12","12","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO","10","","10","5","5","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","Czechia","Original","1995","1997","In Force","0.33","0.54","0.47","0","0.31","6","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","10","25","15","12","12","10","5","10","10","NO","NO","NO","NO","","NO","NO","NA"
"Albania","Greece","Original","1995","2001","In Force","0.34","0.19","0.58","0.25","0.38","9","NO","NO","NO","NO","YES","NO","YES","YES","NO","NO","5","","5","5","5","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","North Macedonia","Original","1998","1999","In Force","0.44","0.38","0.7","0.25","0.44","9","YES","9","NO","NO","YES","NO","NO","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","Norway","Original","1998","2000","In Force","0.53","0.38","0.72","0.5","0.59","6","YES","6","NO","NO","YES","NO","NO","YES","NO","NO","5","25","15","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Albania","Bulgaria","Original","1998","2000","In Force","0.4","0.38","0.58","0.25","0.38","9","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","5","25","15","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","Moldova","Original","2002","2004","In Force","0.58","0.28","0.95","0.5","0.68","9","YES","3","NO","NO","YES","YES","YES","YES","YES","NO","5","25","10","5","5","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","China","Original","2004","2006","In Force","0.36","0.38","0.45","0.25","0.32","9","YES","9","YES","YES","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","Montenegro","Pre-independence","2004","2006","In Force","0.57","0.5","0.83","0.38","0.62","9","YES","9","NO","NO","YES","NO","YES","NO","YES","NO","5","25","15","10","10","10","10","10","10","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","South Korea","Original","2006","2008","In Force","0.43","0.34","0.7","0.25","0.44","9","YES","6","NO","NO","YES","NO","NO","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","Austria","Original","2007","2009","In Force","0.23","0.25","0.33","0.13","0.21","9","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","5","5","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","Kuwait","Original","2010","2014","In Force","0.31","0.34","0.47","0.13","0.29","6","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","10","10","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","Germany","Original","2010","2012","In Force","0.23","0.25","0.2","0.25","0.21","9","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","YES","NA"
